k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
1E-12,3.16227766016838E-12,0.0001142857,2E-12,2.45714285714286E-11,20,35
1E-12,3.16227766016838E-12,0.0001285714,2E-12,8.1E-11,20,35
1E-12,3.16227766016838E-12,0.0001428571,2E-12,1.37428571428571E-10,20,35
1E-12,7.19685673001153E-12,0.0001142857,2E-12,2.45714285714286E-11,20,35
1E-12,7.19685673001153E-12,0.0001285714,2E-12,8.1E-11,20,35
1E-12,7.19685673001153E-12,0.0001428571,2E-12,1.37428571428571E-10,20,35
1E-12,1.38949549437314E-12,0.0001142857,2E-12,5.84285714285714E-11,20,50
1E-12,1.38949549437314E-12,0.0001285714,2E-12,1.14857142857143E-10,20,50
1E-12,3.16227766016838E-12,0.0001,2E-12,2E-12,20,50
1E-12,3.16227766016838E-12,0.0001142857,2E-12,5.84285714285714E-11,20,50
1E-12,3.16227766016838E-12,0.0001285714,2E-12,1.14857142857143E-10,20,50
1E-12,7.19685673001153E-12,0.0001,2E-12,2E-12,20,50
1E-12,7.19685673001153E-12,0.0001142857,2E-12,5.84285714285714E-11,20,50
1E-12,7.19685673001153E-12,0.0001285714,2E-12,1.14857142857143E-10,20,50
1E-12,1.63789370695407E-11,0.0001,2E-12,2E-12,20,100
1E-12,1.63789370695407E-11,0.0001142857,2E-12,5.84285714285714E-11,20,100
1E-12,1.63789370695407E-11,0.0001285714,2E-12,1.14857142857143E-10,20,100
1E-12,3.72759372031494E-11,0.0001,2E-12,2E-12,20,100
1E-12,3.72759372031494E-11,0.0001142857,2E-12,5.84285714285714E-11,20,100
1E-12,3.72759372031494E-11,0.0001285714,2E-12,1.14857142857143E-10,20,100
1E-12,1.63789370695407E-11,0.0001,2E-12,2E-12,20,15
1E-12,1.63789370695407E-11,0.0001142857,2E-12,5.84285714285714E-11,20,15
1E-12,1.63789370695407E-11,0.0001285714,2E-12,1.14857142857143E-10,20,15
1E-12,3.72759372031494E-11,0.0001,2E-12,2E-12,20,15
1E-12,3.72759372031494E-11,0.0001142857,2E-12,5.84285714285714E-11,20,15
1E-12,3.72759372031494E-11,0.0001285714,2E-12,1.14857142857143E-10,20,15
1E-12,1.63789370695407E-11,0.0001,2E-12,2E-12,20,200
1E-12,1.63789370695407E-11,0.0001142857,2E-12,5.84285714285714E-11,20,200
1E-12,1.63789370695407E-11,0.0001285714,2E-12,1.14857142857143E-10,20,200
1E-12,3.72759372031494E-11,0.0001,2E-12,2E-12,20,200
1E-12,3.72759372031494E-11,0.0001142857,2E-12,5.84285714285714E-11,20,200
1E-12,3.72759372031494E-11,0.0001285714,2E-12,1.14857142857143E-10,20,200
1E-12,1.63789370695407E-11,0.0001,2E-12,2E-12,20,20
1E-12,1.63789370695407E-11,0.0001142857,2E-12,5.84285714285714E-11,20,20
1E-12,1.63789370695407E-11,0.0001285714,2E-12,1.14857142857143E-10,20,20
1E-12,3.72759372031494E-11,0.0001,2E-12,2E-12,20,20
1E-12,3.72759372031494E-11,0.0001142857,2E-12,5.84285714285714E-11,20,20
1E-12,3.72759372031494E-11,0.0001285714,2E-12,1.14857142857143E-10,20,20
1E-12,1.63789370695407E-11,0.0001,2E-12,2E-12,20,300
1E-12,1.63789370695407E-11,0.0001142857,2E-12,5.84285714285714E-11,20,300
1E-12,1.63789370695407E-11,0.0001285714,2E-12,1.14857142857143E-10,20,300
1E-12,3.72759372031494E-11,0.0001,2E-12,2E-12,20,300
1E-12,3.72759372031494E-11,0.0001142857,2E-12,5.84285714285714E-11,20,300
1E-12,3.72759372031494E-11,0.0001285714,2E-12,1.14857142857143E-10,20,300
1E-12,1.63789370695407E-11,0.0001,2E-12,2E-12,20,35
1E-12,1.63789370695407E-11,0.0001142857,2E-12,5.84285714285714E-11,20,35
1E-12,1.63789370695407E-11,0.0001285714,2E-12,1.14857142857143E-10,20,35
1E-12,3.72759372031494E-11,0.0001,2E-12,2E-12,20,35
1E-12,3.72759372031494E-11,0.0001142857,2E-12,5.84285714285714E-11,20,35
1E-12,3.72759372031494E-11,0.0001285714,2E-12,1.14857142857143E-10,20,35
1E-12,1.63789370695407E-11,0.0001,2E-12,2E-12,20,50
1E-12,1.63789370695407E-11,0.0001142857,2E-12,5.84285714285714E-11,20,50
1E-12,1.63789370695407E-11,0.0001285714,2E-12,1.14857142857143E-10,20,50
1E-12,3.72759372031494E-11,0.0001,2E-12,2E-12,20,50
1E-12,3.72759372031494E-11,0.0001142857,2E-12,5.84285714285714E-11,20,50
1E-12,3.72759372031494E-11,0.0001285714,2E-12,1.14857142857143E-10,20,50
1E-12,8.48342898244072E-11,0.0001,2E-12,2E-12,20,100
1E-12,8.48342898244072E-11,0.0001142857,2E-12,5.84285714285714E-11,20,100
1E-12,8.48342898244072E-11,0.0001285714,2E-12,1.14857142857143E-10,20,100
