identifier_id,k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
6023,1.63789370695407E-14,4.39397056076079E-10,0.0001,9.22857142857143E-11,1.48714285714286E-10,20,35
3633,1.63789370695407E-14,0.000000001,0.0002142857,1.14857142857143E-10,1.37428571428571E-10,20,15
4879,1.63789370695407E-14,0.000000001,0.0003,3.58571428571428E-11,1.48714285714286E-10,20,15
1863,1.63789370695407E-14,0.000000001,0.0001,1.37428571428571E-10,1.37428571428571E-10,20,20
2925,1.63789370695407E-14,0.000000001,0.0001714286,9.22857142857143E-11,1.03571428571429E-10,20,50
7505,3.72759372031494E-14,3.16227766016838E-12,0.0002,2.45714285714286E-11,1.26142857142857E-10,20,20
6453,3.72759372031494E-14,3.16227766016838E-12,0.0001285714,8.1E-11,1.03571428571429E-10,20,35
7305,3.72759372031494E-14,3.16227766016838E-12,0.0001857143,4.71428571428571E-11,6.97142857142857E-11,20,35
7111,3.72759372031494E-14,3.16227766016838E-12,0.0001714286,6.97142857142857E-11,8.1E-11,20,50
2474,3.72759372031494E-14,7.19685673001153E-12,0.0001428571,9.22857142857143E-11,1.03571428571429E-10,20,15
2614,3.72759372031494E-14,7.19685673001153E-12,0.0001571429,2.45714285714286E-11,1.6E-10,20,15
3273,3.72759372031494E-14,7.19685673001153E-12,0.0002,1.32857142857143E-11,1.48714285714286E-10,20,15
3841,3.72759372031494E-14,7.19685673001153E-12,0.0002285714,1.03571428571429E-10,1.26142857142857E-10,20,15
3976,3.72759372031494E-14,7.19685673001153E-12,0.0002428571,3.58571428571428E-11,1.26142857142857E-10,20,15
4276,3.72759372031494E-14,7.19685673001153E-12,0.0002571429,9.22857142857143E-11,1.26142857142857E-10,20,15
6664,3.72759372031494E-14,1.63789370695407E-11,0.0002,2.45714285714286E-11,1.6E-10,20,15
7428,3.72759372031494E-14,1.63789370695407E-11,0.0002428571,9.22857142857143E-11,1.48714285714286E-10,20,15
7456,3.72759372031494E-14,1.63789370695407E-11,0.0002428571,1.14857142857143E-10,1.26142857142857E-10,20,15
2521,3.72759372031494E-14,7.19685673001153E-12,0.0001428571,1.26142857142857E-10,1.26142857142857E-10,20,20
