k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
1E-12,1.93069772888325E-10,0.0002714286,2E-12,4.71428571428571E-11,20,100
1E-12,4.39397056076079E-10,0.0001714286,2E-12,1.6E-10,20,100
1E-12,0.000000001,0.0001142857,2E-12,1.03571428571429E-10,20,100
1E-12,0.000000001,0.0002285714,2E-12,1.48714285714286E-10,20,100
1E-12,4.39397056076079E-10,0.0001142857,2E-12,1.14857142857143E-10,20,200
1E-12,4.39397056076079E-10,0.0002285714,2E-12,8.1E-11,20,200
1E-12,0.000000001,0.0001285714,2E-12,1.6E-10,20,200
1E-12,0.000000001,0.0002428571,2E-12,1.37428571428571E-10,20,200
1E-12,4.39397056076079E-10,0.0001142857,2E-12,1.03571428571429E-10,20,300
1E-12,4.39397056076079E-10,0.0002142857,2E-12,1.6E-10,20,300
1E-12,0.000000001,0.0001142857,2E-12,1.6E-10,20,300
1E-12,0.000000001,0.0002285714,2E-12,5.84285714285714E-11,20,300
1.93069772888325E-13,7.19685673001153E-12,0.0001285714,2E-12,1.26142857142857E-10,20,300
1.93069772888325E-13,1.63789370695407E-11,0.0002285714,2E-12,1.26142857142857E-10,20,300
1.93069772888325E-13,8.48342898244072E-11,0.0002571429,2E-12,1.6E-10,20,200
1.93069772888325E-13,8.48342898244072E-11,0.0002714286,2E-12,1.48714285714286E-10,20,300
1.93069772888325E-13,4.39397056076079E-10,0.0001285714,2E-12,1.14857142857143E-10,20,300
1.93069772888325E-13,4.39397056076079E-10,0.0002571429,2E-12,1.48714285714286E-10,20,300
1.93069772888325E-13,0.000000001,0.0002857143,2.45714285714286E-11,1.6E-10,20,300
4.39397056076079E-13,1.63789370695407E-11,0.0001142857,2E-12,1.48714285714286E-10,20,200
4.39397056076079E-13,7.19685673001153E-12,0.0003,2E-12,1.6E-10,20,300
4.39397056076079E-13,3.72759372031494E-11,0.0001428571,2E-12,1.37428571428571E-10,20,100
4.39397056076079E-13,3.72759372031494E-11,0.0001571429,2E-12,6.97142857142857E-11,20,200
4.39397056076079E-13,8.48342898244072E-11,0.0001857143,2E-12,1.26142857142857E-10,20,200
4.39397056076079E-13,3.72759372031494E-11,0.0001571429,2E-12,8.1E-11,20,300
4.39397056076079E-13,8.48342898244072E-11,0.0001285714,2E-12,1.37428571428571E-10,20,300
4.39397056076079E-13,1.93069772888325E-10,0.0001,2E-12,8.1E-11,20,100
4.39397056076079E-13,4.39397056076079E-10,0.0001571429,2E-12,1.37428571428571E-10,20,100
4.39397056076079E-13,1.93069772888325E-10,0.0001428571,2E-12,1.37428571428571E-10,20,200
4.39397056076079E-13,4.39397056076079E-10,0.0001285714,2E-12,1.14857142857143E-10,20,200
4.39397056076079E-13,0.000000001,0.0001142857,2E-12,6.97142857142857E-11,20,200
4.39397056076079E-13,1.93069772888325E-10,0.0002,2E-12,1.03571428571429E-10,20,300
4.39397056076079E-13,4.39397056076079E-10,0.0001571429,2E-12,3.58571428571428E-11,20,300
4.39397056076079E-13,0.000000001,0.0001,2E-12,3.58571428571428E-11,20,300
4.39397056076079E-13,0.000000001,0.0001714286,2E-12,1.14857142857143E-10,20,200
4.39397056076079E-13,0.000000001,0.0002,2E-12,5.84285714285714E-11,20,300
1E-12,7.19685673001153E-12,0.0001285714,2E-12,1.48714285714286E-10,20,200
1E-12,1.63789370695407E-11,0.0002714286,2E-12,1.14857142857143E-10,20,100
1E-12,1.63789370695407E-11,0.0001285714,2E-12,9.22857142857143E-11,20,200
1E-12,3.72759372031494E-11,0.0001428571,2E-12,1.32857142857143E-11,20,200
1E-12,1.63789370695407E-11,0.0001142857,2E-12,3.58571428571428E-11,20,300
1E-12,1.63789370695407E-11,0.0002857143,2E-12,1.6E-10,20,300
1E-12,3.72759372031494E-11,0.0002571429,2E-12,8.1E-11,20,100
1E-12,8.48342898244072E-11,0.0002428571,2E-12,5.84285714285714E-11,20,100
1E-12,1.93069772888325E-10,0.0001857143,2E-12,2.45714285714286E-11,20,100
1E-12,3.72759372031494E-11,0.0003,2E-12,1.26142857142857E-10,20,200
1E-12,8.48342898244072E-11,0.0002142857,2E-12,8.1E-11,20,200
1E-12,1.93069772888325E-10,0.0001428571,2E-12,2.45714285714286E-11,20,200
1E-12,1.93069772888325E-10,0.0002571429,2E-12,1.37428571428571E-10,20,200
1E-12,8.48342898244072E-11,0.0001428571,2E-12,4.71428571428571E-11,20,300
1E-12,8.48342898244072E-11,0.0002714286,2E-12,8.1E-11,20,300
1E-12,1.93069772888325E-10,0.0001714286,2E-12,6.97142857142857E-11,20,300
