k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
1E-12,4.39397056076079E-10,0.0001,8.1E-11,1.6E-10,20,200
1E-12,0.000000001,0.0001,8.1E-11,1.6E-10,20,200
1E-12,1.38949549437314E-12,0.0001,8.1E-11,1.6E-10,20,200
1E-12,3.16227766016838E-12,0.0001,8.1E-11,1.6E-10,20,200
1E-12,7.19685673001153E-12,0.0001,8.1E-11,1.6E-10,20,200
1E-12,1.63789370695407E-11,0.0001,8.1E-11,1.6E-10,20,200
1E-12,3.72759372031494E-11,0.0001,8.1E-11,1.6E-10,20,200
1E-12,8.48342898244072E-11,0.0001,8.1E-11,1.6E-10,20,200
1E-12,1.93069772888325E-10,0.0001,8.1E-11,1.6E-10,20,200
